"Financial Year","Return Type","Name","Received From","Date","Value"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Department of Communities and Justice","","707150"
"2020-21","Significant Third Party Return","National Disability Services Limited","ACT - Department of Families, Housing, Community Services & Industry","","151250"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Department of Planning Industry and the Environment","","175435"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Department of Education","","55230"
"2020-21","Significant Third Party Return","National Disability Services Limited","CW - Department of Social Services","","694574"
"2020-21","Significant Third Party Return","National Disability Services Limited","ACT - Department of Disability, Housing and Community Services","","234986"
"2020-21","Significant Third Party Return","National Disability Services Limited","TAS - Department of State Growth, Skills Tasmania","","173823"
"2020-21","Significant Third Party Return","National Disability Services Limited","TAS - Department of Health & Human Services","","220000"
"2020-21","Significant Third Party Return","National Disability Services Limited","TAS - Department of Health","21/06/2021","98872"
"2020-21","Significant Third Party Return","National Disability Services Limited","SA - Department for Industry and Skills","25/03/2021","75240"
"2020-21","Significant Third Party Return","National Disability Services Limited","NT - Department of Health & Families","","127386"
